Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,Laundering Type
2022/08/01 01:34,023447,80748FC70,008847,8055DF7D0,7320.00,Yuan,7320.00,Yuan,ACH,1, SCATTER-GATHER
2022/08/26 18:37,008847,8055DF7D0,014745,80DAC5480,1092.93,US Dollar,1092.93,US Dollar,ACH,1, SCATTER-GATHER
2022/08/07 09:02,023447,80748FC70,003335,8014304A0,10954.37,Euro,10954.37,Euro,ACH,1, SCATTER-GATHER
2022/08/29 06:09,003335,8014304A0,014745,80DAC5480,10378.47,US Dollar,10378.47,US Dollar,ACH,1, SCATTER-GATHER
2022/08/11 09:18,023447,80748FC70,023872,802BBDCC0,14073.93,Euro,14073.93,Euro,ACH,1, SCATTER-GATHER
2022/08/31 22:28,023872,802BBDCC0,014745,80DAC5480,14412.78,US Dollar,14412.78,US Dollar,ACH,1, SCATTER-GATHER
2022/08/17 15:34,023447,80748FC70,0015,8000ECD10,38142.17,Shekel,38142.17,Shekel,ACH,1, SCATTER-GATHER
2022/09/01 18:44,0015,8000ECD10,014745,80DAC5480,11107.97,US Dollar,11107.97,US Dollar,ACH,1, SCATTER-GATHER
2022/08/01 02:43,0117362,823F05BD0,0148470,823F05B80,1772.92,US Dollar,1772.92,US Dollar,ACH,1, SCATTER-GATHER
2022/08/08 05:55,0148470,823F05B80,0117362,823F05BD0,1772.92,US Dollar,1772.92,US Dollar,ACH,1, SCATTER-GATHER
2022/08/07 22:31,0117362,823F05BD0,02776,800F28540,173134.08,US Dollar,173134.08,US Dollar,ACH,1, SCATTER-GATHER
2022/08/31 22:38,02776,800F28540,0117362,823F05BD0,193678.93,US Dollar,193678.93,US Dollar,ACH,1, SCATTER-GATHER
2022/08/01 04:23,004563,802975F60,025711,8030C7420,4354.01,US Dollar,4354.01,US Dollar,ACH,1, RANDOM
2022/08/01 04:59,0115668,8064342E0,0126210,80A4D90A0,455.86,Euro,455.86,Euro,ACH,1, FAN-OUT
2022/08/01 14:26,0115668,8064342E0,016424,80E1DFDF0,480.89,Euro,480.89,Euro,ACH,1, FAN-OUT
2022/08/08 11:49,0115668,8064342E0,01538,800D5B8A0,7725.53,Euro,7725.53,Euro,ACH,1, FAN-OUT
2022/08/09 15:54,0115668,8064342E0,0118817,80B8C6300,3900.32,Euro,3900.32,Euro,ACH,1, FAN-OUT
2022/08/15 17:08,0115668,8064342E0,004928,8067B6210,17552.25,US Dollar,17552.25,US Dollar,ACH,1, FAN-OUT
2022/08/19 11:55,0115668,8064342E0,0115668,807161590,6866.79,Euro,6866.79,Euro,ACH,1, FAN-OUT
2022/08/27 11:54,0115668,8064342E0,015126,805B92400,1081.12,US Dollar,1081.12,US Dollar,ACH,1, FAN-OUT
2022/08/28 17:15,0115668,8064342E0,0140908,80F7A4260,1433900.04,Yen,1433900.04,Yen,ACH,1, FAN-OUT
2022/09/03 11:52,0115668,8064342E0,002032,809937770,12804.39,US Dollar,12804.39,US Dollar,ACH,1, FAN-OUT
2022/08/01 09:29,02609,800746B10,000,8028D5120,581.58,US Dollar,581.58,US Dollar,ACH,1, STACK
